borough,neighbourhood,room_type,price
Brooklyn,Bedford-Stuyvesant,Private,80
Manhattan,Chelsea,Private,150
Manhattan,Upper West Side,Home,200
Manhattan,East Village,Home,200
Queens,Sunnyside,Private,42
Brooklyn,Williamsburg,Private,90
Manhattan,Harlem,Home,295
Brooklyn,Williamsburg,Home,450
Brooklyn,Crown Heights,Home,130
Brooklyn,Williamsburg,Private,89
Manhattan,Harlem,Home,198
Manhattan,East Village,Home,99
Brooklyn,Greenpoint,Private,46
Manhattan,SoHo,Private,140
Brooklyn,Carroll Gardens,Home,500
Manhattan,Morningside Heights,Private,75
Queens,Sunnyside,Private,33
Manhattan,Upper West Side,Home,250
Brooklyn,Bushwick,Private,60
Manhattan,Washington Heights,Private,75
Brooklyn,Carroll Gardens,Home,350
Manhattan,Chelsea,Home,205
Brooklyn,Park Slope,Home,219
Brooklyn,Park Slope,Private,60
Manhattan,Upper West Side,Home,185
Manhattan,East Village,Home,190
Brooklyn,South Slope,Home,105
Manhattan,East Harlem,Home,250
Manhattan,Upper West Side,Home,175
Manhattan,Harlem,Private,65
Brooklyn,Bedford-Stuyvesant,Home,75
Bronx,University Heights,Private,37
Brooklyn,Williamsburg,Home,85
Brooklyn,Gravesend,Home,106
Manhattan,East Harlem,Home,79
Brooklyn,Fort Greene,Private,85
Manhattan,Harlem,Private,170
Manhattan,Lower East Side,Private,115
Manhattan,Harlem,Private,89
Manhattan,Harlem,Shared room,49
Brooklyn,Greenpoint,Private,91
Manhattan,Gramercy,Home,400
Brooklyn,Bushwick,Home,150
Manhattan,Upper West Side,Home,2000
Brooklyn,Crown Heights,Home,97
Manhattan,East Village,Private,100
Brooklyn,Williamsburg,Home,179
